,TP,TN,FP,FN,Class
399,0,2263.0,67,89.0,Car
400,53.0,1784.0,546.0,36.0,Car
401,7.0,2058.0,272.0,82.0,Car
402,36.0,1959.0,371.0,53.0,Car
403,13.0,1502.0,897.0,7.0,Cellphone
404,18.0,2279.0,120.0,2.0,Cellphone
405,16.0,2316.0,83.0,4.0,Cellphone
406,18.0,2224.0,175.0,2.0,Cellphone
407,15.0,2315.0,84.0,5.0,Cellphone
408,13.0,1363.0,1036.0,7.0,Cellphone
409,0,869.0,1530,20.0,Cellphone
410,18.0,2196.0,203.0,2.0,Cellphone
411,14.0,2317.0,82.0,6.0,Cellphone
412,18.0,1759.0,640.0,2.0,Cellphone
413,16.0,1731.0,668.0,4.0,Cellphone
414,13.0,2322.0,77.0,7.0,Cellphone
415,14.0,1745.0,654.0,6.0,Cellphone
416,18.0,2184.0,215.0,2.0,Cellphone
417,18.0,1843.0,556.0,2.0,Cellphone
418,15.0,2314.0,85.0,5.0,Cellphone
419,18.0,1783.0,616.0,2.0,Cellphone
420,18.0,2213.0,186.0,2.0,Cellphone
421,17.0,1548.0,851.0,3.0,Cellphone
422,18.0,2029.0,370.0,2.0,Cellphone
423,25.0,2017.0,360.0,17.0,Chess
424,36.0,653.0,1724.0,6.0,Chess
425,38.0,754.0,1623.0,4.0,Chess
426,34.0,650.0,1727.0,8.0,Chess
427,34.0,645.0,1732.0,8.0,Chess
428,36.0,992.0,1385.0,6.0,Chess
429,38.0,1056.0,1321.0,4.0,Chess
430,36.0,612.0,1765.0,6.0,Chess
431,39.0,602.0,1775.0,3.0,Chess
432,39.0,729.0,1648.0,3.0,Chess
433,34.0,653.0,1724.0,8.0,Chess
434,36.0,614.0,1763.0,6.0,Chess
435,38.0,585.0,1792.0,4.0,Chess
436,38.0,956.0,1421.0,4.0,Chess
437,34.0,656.0,1721.0,8.0,Chess
438,36.0,648.0,1729.0,6.0,Chess
439,38.0,584.0,1793.0,4.0,Chess
440,38.0,761.0,1616.0,4.0,Chess
441,38.0,936.0,1441.0,4.0,Chess
